
Iteration; Rate; AvgRate; NumberOfSensors 
875;105.34;84,36131;1
877;126.74;84,40555;1
878;64.86;84,38329;1
880;144.82;84,45243;1
881;64.85;84,43018;1
883;81.50;84,4144;1
884;69.13;84,39711;1
886;61.25;84,33535;1
887;76.85;84,32691;1
889;78.14;84,27444;1
890;58.64;84,24564;1
892;75.27;84,21973;1
893;94.68;84,23144;1
895;91.87;84,20272;1
896;84.80;84,20338;1
898;89.79;84,20845;1
899;89.73;84,21459;1
901;122.25;84,263;1
902;60.07;84,23618;1
904;85.65;84,24197;1
905;80.89;84,23827;1
907;106.98;84,26237;1
908;68.63;84,24516;1
910;65.30;84,20862;1
911;125.90;84,25438;1
913;89.97;84,24998;1
914;91.53;84,25795;1
916;98.66;84,2813;1
917;57.92;84,25255;1
919;94.44;84,2683;1
920;88.75;84,27318;1
922;88.06;84,27231;1
923;72.63;84,2597;1
925;85.66;84,2608;1
926;84.95;84,26154;1
928;121.24;84,30247;1
929;90.82;84,30949;1
931;102.50;84,33782;1
932;61.53;84,31335;1
934;52.17;84,27312;1
935;79.21;84,2677;1
937;88.78;84,2572;1
938;100.95;84,27499;1
940;91.47;84,26641;1
941;93.95;84,2767;1
943;82.95;84,26237;1
944;67.42;84,24453;1
946;71.90;84,22721;1
947;83.79;84,22675;1
949;80.51;84,20203;1
950;82.61;84,20035;1
952;64.44;84,14864;1
953;86.07;84,15066;1
955;71.53;84,11313;1
956;77.70;84,10641;1
958;89.27;84,13374;1
959;46.56;84,09455;1
961;100.63;84,09294;1
962;76.82;84,08538;1
964;139.50;84,13774;1
965;57.47;84,1101;1
967;72.36;84,10155;1
968;94.09;84,11186;1
970;77.78;84,12145;1
971;57.54;84,09408;1
973;84.27;84,08486;1
974;81.46;84,08217;1
976;83.45;84,0846;1
977;66.01;84,06611;1
979;89.89;84,05618;1
980;62.27;84,03394;1
982;82.70;84,00897;1
983;83.30;84,00825;1
985;59.54;83,98257;1
986;83.11;83,98168;1
988;85.27;83,96213;1
989;81.60;83,95974;1
991;94.43;83,95876;1
992;93.03;83,9679;1
994;107.30;83,9789;1
995;54.74;83,94951;1
997;49.84;83,92008;1
998;58.88;83,895;1
1000;55.04;83,82985;1
1001;33.95;83,78002;1
1003;67.77;83,72332;1
1004;45.19;83,68494;1
1006;62.19;83,61957;1
1007;47.26;83,58346;1
1009;83.84;83,55576;1
1010;41.38;83,514;1
1012;44.66;83,42597;1
1013;62.93;83,40574;1
1015;63.01;83,33475;1
1016;44.09;83,29612;1
1018;40.95;83,24078;1
1019;69.15;83,22694;1
1021;85.27;83,18829;1
1022;37.77;83,14385;1
1024;110.10;83,12346;1
1025;51.79;83,09289;1
1027;81.95;83,0631;1
1028;42.04;83,02319;1
1030;66.46;82,9753;1
1031;72.51;82,96515;1
1033;77.06;82,95493;1
1034;86.37;82,95823;1
1036;112.85;82,96066;1
1037;54.01;82,93273;1
1039;146.21;83,02075;1
1040;58.96;82,99762;1
1042;102.96;82,99838;1
1043;50.02;82,96677;1
1045;105.03;82,98093;1
1046;58.92;82,95792;1
1048;58.67;82,93404;1
1049;50.40;82,90303;1
1051;80.05;82,88274;1
1052;48.28;82,84985;1
1054;85.95;82,8371;1
1055;61.84;82,81721;1
1057;90.17;82,80621;1
1058;36.23;82,76219;1
1060;75.92;82,75211;1
1061;105.11;82,77318;1
1063;88.30;82,74524;1
1064;65.29;82,72883;1
1066;62.66;82,70681;1
1067;92.08;82,71559;1
1069;57.58;82,6708;1
1070;55.69;82,64558;1
1072;126.23;82,67492;1
1073;95.95;82,68729;1
1075;55.45;82,64494;1
1076;86.32;82,64835;1
1078;81.96;82,61443;1
1079;42.55;82,5773;1
1081;55.09;82,53036;1
1082;71.72;82,52038;1
1084;42.68;82,46184;1
1085;34.83;82,41793;1
1087;48.40;82,36963;1
1088;71.38;82,35953;1
1090;52.24;82,32168;1
1091;50.08;82,29213;1
1093;87.76;82,25536;1
1094;65.20;82,23978;1
1096;44.06;82,17865;1
1097;67.69;82,16544;1
1099;106.51;82,17384;1
1100;73.05;82,16554;1
1102;65.59;82,13461;1
1103;54.17;82,10925;1
1105;80.30;82,11845;1
1106;83.99;82,12014;1
1108;91.59;82,12233;1
1109;67.81;82,10942;1
1111;84.87;82,09132;1
1112;55.67;82,06756;1
1114;106.45;82,07542;1
1115;33.96;82,03226;1
1117;58.98;81,9815;1
1118;38.42;81,94254;1
1120;131.99;81,98162;1
1121;77.92;81,978;1
1123;89.84;81,97009;1
1124;81.31;81,96951;1
1126;50.96;81,9098;1
1127;66.35;81,89599;1
1129;57.87;81,85104;1
1130;70.22;81,84074;1
1132;48.51;81,81871;1
1133;66.29;81,80501;1
1135;75.34;81,76366;1
1136;43.32;81,72981;1
1138;91.18;81,72048;1
1139;49.65;81,69232;1
1141;64.86;81,66847;1
1142;85.38;81,67172;1
1144;73.08;81,6531;1
1145;52.16;81,62733;1
1147;62.31;81,59841;1
1148;63.56;81,5827;1
1150;81.79;81,58897;1
1151;53.56;81,56461;1
1153;75.42;81,55871;1
1154;64.32;81,54377;1
1156;72.88;81,55127;1
1157;97.16;81,56477;1
1159;62.25;81,56635;1
1160;81.73;81,56649;1
1162;115.28;81,57192;1
1163;83.28;81,57339;1
1165;84.61;81,56478;1
1166;65.46;81,55096;1
1168;104.72;81,55514;1
1169;68.78;81,5442;1
1171;79.30;81,5191;1
1172;77.54;81,51571;1
1174;90.21;81,51437;1
1175;52.46;81,48965;1
1177;94.41;81,51606;1
1178;118.68;81,54762;1
1180;76.17;81,5224;1
1181;79.23;81,52046;1
1183;96.15;81,52264;1
1184;64.35;81,50814;1
1186;103.46;81,50866;1
1187;55.13;81,48643;1
1189;72.75;81,45123;1
1190;57.58;81,43117;1
1192;98.67;81,43485;1
1193;81.91;81,43526;1
1195;84.33;81,41242;1
1196;48.00;81,38448;1
1198;65.77;81,34968;1
1199;50.63;81,32406;1
1201;73.41;81,30611;1
1202;43.16;81,27438;1
1204;77.29;81,24046;1
1205;46.36;81,21152;1
1207;67.46;81,19489;1
1208;65.50;81,18189;1
1210;54.87;81,13841;1
1211;54.27;81,11623;1
1213;52.51;81,07941;1
1214;72.25;81,07214;1
1216;119.81;81,09116;1
1217;44.74;81,06129;1
1219;82.74;81,05217;1
1220;70.04;81,04314;1
1222;68.49;81,01327;1
1223;62.13;80,99783;1
1225;82.63;80,98618;1
1226;70.14;80,97734;1
1228;118.48;81,01907;1
1229;70.09;81,01017;1
1231;82.58;80,99437;1
1232;85.27;80,99784;1
1234;54.85;80,95815;1
1235;53.05;80,93555;1
