
Iteration; Rate; AvgRate
742;76.66;88,27699;
743;96.96;88,28867;
744;79.97;88,27748;
745;56.68;88,23507;
746;54.33;88,18962;
747;54.25;88,14418;
748;57.75;88,10355;
749;70.99;88,0807;
750;93.41;88,08781;
751;73.39;88,06824;
752;101.96;88,08672;
753;123.38;88,13359;
754;94.94;88,14262;
755;68.55;88,11667;
756;87.83;88,11629;
757;106.44;88,1405;
758;102.93;88,16002;
759;97.18;88,1719;
760;98.00;88,18484;
761;63.42;88,15229;
762;85.44;88,14873;
763;73.07;88,12897;
764;144.75;88,20308;
765;94.88;88,21181;
766;99.97;88,22716;
767;93.49;88,23402;
768;79.88;88,22314;
769;65.69;88,19384;
770;78.36;88,18108;
771;85.54;88,17765;
772;112.84;88,2096;
773;83.30;88,20325;
774;73.69;88,18451;
775;82.57;88,17726;
776;101.19;88,19402;
777;89.08;88,19517;
778;109.87;88,22303;
779;116.36;88,25916;
780;92.27;88,26431;
781;70.24;88,24123;
782;82.58;88,23399;
783;95.46;88,24322;
784;113.96;88,27602;
785;94.69;88,28419;
786;123.11;88,3285;
787;74.01;88,3103;
788;79.99;88,29974;
789;88.90;88,30051;
790;107.23;88,32447;
791;75.93;88,3088;
792;80.11;88,29845;
793;99.51;88,3126;
794;90.63;88,31552;
795;72.33;88,29542;
796;100.59;88,31086;
797;125.59;88,35764;
798;76.69;88,34302;
799;113.02;88,37389;
800;78.67;88,36176;
801;83.75;88,356;
802;80.75;88,34651;
803;72.40;88,32665;
804;98.63;88,33946;
805;86.33;88,33697;
806;66.47;88,30984;
807;85.55;88,30642;
808;67.31;88,28044;
809;131.00;88,33324;
810;79.75;88,32265;
811;66.83;88,29616;
812;68.44;88,27171;
813;65.24;88,24338;
814;70.45;88,22152;
815;71.12;88,20053;
816;81.09;88,19181;
817;116.34;88,22626;
818;102.84;88,24413;
819;69.38;88,22109;
820;53.68;88,17898;
821;66.11;88,15209;
822;80.97;88,14335;
823;66.90;88,11755;
824;116.69;88,15221;
825;103.20;88,17046;
826;87.12;88,16918;
827;70.43;88,14773;
828;81.99;88,14029;
829;69.11;88,11733;
830;114.86;88,14955;
831;95.22;88,15806;
832;101.78;88,17442;
833;70.22;88,15287;
834;83.78;88,14763;
835;77.70;88,13512;
836;84.38;88,13062;
837;111.14;88,15811;
838;109.06;88,18306;
839;86.89;88,18152;
840;123.67;88,22377;
841;79.60;88,21352;
842;70.06;88,19197;
843;77.69;88,17952;
844;114.39;88,21058;
845;82.38;88,20367;
846;76.66;88,19003;
847;97.91;88,2015;
848;82.29;88,19453;
849;90.03;88,19669;
850;93.56;88,20301;
851;121.97;88,24268;
852;80.96;88,23414;
853;59.90;88,20093;
854;68.28;88,1776;
855;70.05;88,15639;
856;102.40;88,17304;
857;125.60;88,21671;
858;77.75;88,20451;
859;86.20;88,20218;
860;99.25;88,21503;
861;70.23;88,19414;
862;98.50;88,2061;
863;93.50;88,21224;
864;116.12;88,24454;
865;79.88;88,23487;
866;87.86;88,23444;
867;101.14;88,24932;
868;107.80;88,27184;
869;77.73;88,2597;
870;108.26;88,28269;
871;99.25;88,29529;
872;68.47;88,27255;
873;78.82;88,26172;
874;92.05;88,26605;
875;127.47;88,31086;
876;86.45;88,30873;
877;100.96;88,32316;
878;81.21;88,31506;
879;56.19;88,27852;
880;73.39;88,2616;
881;85.51;88,25848;
882;112.23;88,28566;
883;112.93;88,31358;
884;65.96;88,28828;
885;78.54;88,27727;
886;70.76;88,2575;
887;85.80;88,25473;
888;126.21;88,29747;
889;103.93;88,31505;
890;92.94;88,32024;
891;80.64;88,31162;
892;79.01;88,30119;
893;71.77;88,28268;
894;66.04;88,2578;
895;109.34;88,28136;
896;113.06;88,30902;
897;37.58;88,25246;
898;83.37;88,24702;
899;84.79;88,24318;
900;73.44;88,22673;
901;81.82;88,21962;
902;59.90;88,18822;
903;90.72;88,19102;
904;88.85;88,19175;
905;92.84;88,19688;
906;91.50;88,20053;
907;104.85;88,21889;
908;102.07;88,23415;
