
Iteration; Rate; AvgRate; TotalNumberOfActions 
730;60.00;59,80913;120
731;60.00;59,80939;120
732;60.00;59,80965;120
733;60.00;59,80991;120
734;60.00;59,81017;120
735;60.00;59,81042;120
736;60.00;59,81068;120
737;60.00;59,81094;120
738;60.00;59,8112;120
739;60.00;59,81145;120
740;60.00;59,81171;120
741;60.00;59,81196;119
742;60.00;59,81221;118
743;60.00;59,81247;117
744;60.00;59,81272;116
745;60.00;59,81297;115
746;60.00;59,81322;115
747;60.00;59,81347;115
748;60.00;59,81372;115
749;60.00;59,81397;115
750;60.00;59,81422;115
751;60.00;59,81446;115
752;60.00;59,81471;115
753;60.00;59,81496;115
754;60.00;59,8152;115
755;60.00;59,81545;115
756;60.00;59,81569;115
757;60.00;59,81594;115
758;60.00;59,81618;115
759;60.00;59,81643;115
760;60.00;59,81667;115
761;60.00;59,81691;115
762;60.00;59,81715;115
763;60.00;59,81739;115
764;60.00;59,81763;115
765;60.00;59,81787;115
766;60.00;59,8181;114
767;60.00;59,81834;113
768;60.00;59,81858;112
769;60.00;59,81881;111
770;60.00;59,81905;110
771;60.00;59,81929;110
772;60.00;59,81952;110
773;60.00;59,81975;110
774;60.00;59,81998;110
775;60.00;59,82022;110
776;60.00;59,82045;110
777;60.00;59,82068;110
778;60.00;59,82091;110
779;60.00;59,82114;110
780;60.00;59,82137;110
781;60.00;59,8216;110
782;60.00;59,82183;110
783;60.00;59,82206;110
784;60.00;59,82228;110
785;60.00;59,82251;110
786;60.00;59,82273;110
787;60.00;59,82296;110
788;60.00;59,82318;110
789;60.00;59,82341;110
790;60.00;59,82364;110
791;60.00;59,82386;109
792;60.00;59,82408;108
793;60.00;59,8243;107
794;60.00;59,82452;106
795;60.00;59,82474;105
796;60.00;59,82496;105
797;60.00;59,82518;105
798;60.00;59,8254;105
799;60.00;59,82562;105
800;60.00;59,82584;105
801;60.00;59,82605;105
802;60.00;59,82627;105
803;60.00;59,82649;105
804;60.00;59,82671;105
805;60.00;59,82692;105
806;60.00;59,82713;105
807;60.00;59,82735;105
808;60.00;59,82756;105
809;60.00;59,82777;105
810;60.00;59,82799;105
811;60.00;59,8282;105
812;60.00;59,82841;105
813;60.00;59,82862;105
814;60.00;59,82883;105
815;60.00;59,82904;105
816;60.00;59,82925;104
817;60.00;59,82946;103
818;60.00;59,82967;102
819;60.00;59,82988;101
820;60.00;59,83009;100
821;60.00;59,83029;99
822;60.00;59,8305;98
823;60.00;59,8307;97
824;60.00;59,83091;96
825;60.00;59,83112;95
826;60.00;59,83132;94
827;60.00;59,83152;94
828;60.00;59,83173;94
829;60.00;59,83193;94
830;60.00;59,83213;94
831;60.00;59,83233;94
832;60.00;59,83253;94
833;60.00;59,83274;94
834;60.00;59,83294;94
835;60.00;59,83314;94
836;60.00;59,83334;94
837;60.00;59,83353;94
838;60.00;59,83373;94
839;60.00;59,83393;94
840;60.00;59,83413;94
841;60.00;59,83433;94
842;60.00;59,83453;94
843;60.00;59,83472;94
844;60.00;59,83492;94
845;60.00;59,83511;94
846;60.00;59,8353;94
847;60.00;59,8355;93
848;60.00;59,83569;92
849;60.00;59,83589;91
850;60.00;59,83608;90
851;60.00;59,83628;89
852;60.00;59,83647;89
853;60.00;59,83666;89
854;60.00;59,83685;89
855;60.00;59,83704;89
856;60.00;59,83723;89
857;60.00;59,83742;89
858;60.00;59,83761;89
859;60.00;59,8378;89
860;60.00;59,83799;89
861;60.00;59,83818;89
862;60.00;59,83836;89
863;60.00;59,83855;89
864;60.00;59,83874;89
865;60.00;59,83892;89
866;60.00;59,83911;89
867;60.00;59,8393;89
868;60.00;59,83949;89
869;60.00;59,83967;89
870;60.00;59,83985;89
871;60.00;59,84003;89
872;60.00;59,84022;88
873;60.00;59,8404;87
874;60.00;59,84058;86
875;60.00;59,84077;85
876;60.00;59,84095;84
877;60.00;59,84113;84
878;60.00;59,84131;84
879;60.00;59,84149;84
880;60.00;59,84167;84
881;60.00;59,84185;84
882;60.00;59,84203;84
883;60.00;59,84221;84
884;60.00;59,84239;84
885;60.00;59,84257;84
886;60.00;59,84275;84
887;60.00;59,84292;84
888;60.00;59,8431;84
889;60.00;59,84327;84
890;60.00;59,84345;84
891;60.00;59,84362;84
892;60.00;59,8438;84
893;60.00;59,84398;84
894;60.00;59,84415;84
895;60.00;59,84433;84
896;60.00;59,8445;84
897;60.00;59,84467;83
898;60.00;59,84484;82
899;60.00;59,84502;81
900;60.00;59,84519;80
901;60.00;59,84536;79
902;60.00;59,84553;79
903;60.00;59,8457;79
904;60.00;59,84587;79
905;60.00;59,84605;79
906;60.00;59,84622;79
907;60.00;59,84639;79
908;60.00;59,84655;79
909;60.00;59,84672;79
910;60.00;59,84689;79
911;60.00;59,84706;79
912;60.00;59,84723;79
913;60.00;59,84739;79
914;60.00;59,84756;79
915;60.00;59,84773;79
916;60.00;59,8479;79
917;60.00;59,84806;79
918;60.00;59,84822;79
919;60.00;59,84839;79
920;60.00;59,84855;79
921;60.00;59,84872;79
922;60.00;59,84888;78
923;60.00;59,84904;77
924;60.00;59,84921;76
925;60.00;59,84937;75
926;60.00;59,84954;74
927;60.00;59,8497;74
928;60.00;59,84986;74
929;60.00;59,85002;74
930;60.00;59,85018;74
931;60.00;59,85034;74
932;60.00;59,8505;74
933;60.00;59,85066;74
934;60.00;59,85082;74
935;60.00;59,85098;74
936;60.00;59,85114;74
937;60.00;59,8513;74
938;60.00;59,85146;74
939;60.00;59,85162;74
940;60.00;59,85178;74
941;60.00;59,85193;74
942;60.00;59,85209;74
943;60.00;59,85225;74
944;60.00;59,8524;74
945;60.00;59,85256;74
946;60.00;59,85271;74
947;60.00;59,85287;73
948;60.00;59,85303;72
949;60.00;59,85318;71
950;60.00;59,85334;70
951;60.00;59,85349;69
952;60.00;59,85365;69
953;60.00;59,8538;69
954;60.00;59,85395;69
955;60.00;59,8541;69
956;60.00;59,85426;69
957;60.00;59,85441;69
958;60.00;59,85456;69
959;60.00;59,85471;69
960;60.00;59,85487;69
961;60.00;59,85502;69
962;60.00;59,85517;69
963;60.00;59,85532;69
964;60.00;59,85547;69
965;60.00;59,85562;69
966;60.00;59,85577;69
967;60.00;59,85592;69
968;60.00;59,85606;69
969;60.00;59,85621;69
970;60.00;59,85636;69
971;60.00;59,85651;69
972;60.00;59,85666;68
973;60.00;59,85681;67
974;60.00;59,85696;66
975;60.00;59,8571;66
976;60.00;59,85725;66
977;60.00;59,85739;66
978;60.00;59,85754;66
979;60.00;59,85768;66
980;60.00;59,85783;66
981;60.00;59,85797;66
982;60.00;59,85812;66
983;60.00;59,85826;66
984;60.00;59,85841;66
985;60.00;59,85855;66
986;60.00;59,8587;66
987;60.00;59,85884;66
988;60.00;59,85898;66
989;60.00;59,85912;66
990;60.00;59,85926;66
991;60.00;59,85941;66
992;60.00;59,85955;66
993;60.00;59,85969;66
994;60.00;59,85983;66
995;60.00;59,85997;65
996;60.00;59,86011;64
997;60.00;59,86025;63
998;60.00;59,86039;62
999;60.00;59,86053;61
1000;60.00;59,86068;60
1001;60.00;59,86082;60
1002;60.00;59,86095;60
1003;60.00;59,86109;60
1004;60.00;59,86123;60
1005;60.00;59,86137;60
1006;60.00;59,8615;60
1007;60.00;59,86164;60
1008;60.00;59,86178;60
1009;60.00;59,86192;60
1010;60.00;59,86205;60
1011;60.00;59,86219;60
1012;60.00;59,86233;60
1013;60.00;59,86246;60
1014;60.00;59,8626;60
1015;60.00;59,86274;60
1016;60.00;59,86287;60
1017;60.00;59,86301;60
1018;60.00;59,86314;60
1019;60.00;59,86327;60
1020;60.00;59,86341;60
1021;60.00;59,86354;59
1022;60.00;59,86367;58
1023;60.00;59,86381;57
1024;60.00;59,86394;56
1025;60.00;59,86407;55
1026;60.00;59,86421;55
1027;60.00;59,86434;55
1028;60.00;59,86448;55
1029;60.00;59,86461;55
1030;60.00;59,86474;55
1031;60.00;59,86487;55
1032;60.00;59,865;55
1033;60.00;59,86513;55
1034;60.00;59,86526;55
1035;60.00;59,86539;55
1036;60.00;59,86552;55
1037;60.00;59,86565;55
1038;60.00;59,86578;55
1039;60.00;59,86591;55
1040;60.00;59,86604;55
1041;60.00;59,86617;55
1042;60.00;59,86629;55
1043;60.00;59,86642;55
1044;60.00;59,86655;55
1045;60.00;59,86668;55
1046;60.00;59,86681;54
1047;60.00;59,86693;53
1048;60.00;59,86706;52
1049;60.00;59,86718;51
1050;60.00;59,86731;50
1051;60.00;59,86744;50
1052;60.00;59,86756;50
1053;60.00;59,86769;50
1054;60.00;59,86781;50
1055;60.00;59,86794;50
1056;60.00;59,86806;50
1057;60.00;59,86819;50
1058;60.00;59,86832;50
1059;60.00;59,86844;50
1060;60.00;59,86857;50
1061;60.00;59,86869;50
1062;60.00;59,86881;50
1063;60.00;59,86893;50
