
Iteration; Rate; AvgRate
767;76.69;77,07035;
768;57.11;77,04436;
769;92.83;77,06489;
770;60.47;77,04333;
771;59.75;77,0209;
772;75.64;77,01911;
773;20.02;76,94537;
774;39.08;76,89645;
775;81.43;76,90229;
776;67.48;76,89015;
777;56.25;76,86358;
778;92.21;76,8833;
779;65.17;76,86826;
780;70.72;76,86038;
781;26.11;76,79539;
782;89.31;76,8114;
783;86.74;76,82408;
784;68.54;76,81351;
785;78.99;76,81628;
786;60.38;76,79537;
787;59.70;76,77364;
788;78.31;76,7756;
789;92.77;76,79587;
790;99.13;76,82413;
791;80.42;76,82868;
792;67.03;76,81631;
793;81.18;76,82182;
794;79.70;76,82544;
795;103.47;76,85896;
796;64.39;76,84329;
797;58.23;76,81994;
798;61.93;76,80128;
799;109.33;76,842;
800;57.69;76,81805;
801;92.83;76,83805;
802;106.16;76,87461;
803;58.92;76,85225;
804;72.16;76,84641;
805;69.21;76,83692;
806;70.11;76,82858;
807;59.38;76,80697;
808;77.98;76,80842;
809;93.02;76,82846;
810;101.99;76,85952;
811;83.78;76,86805;
812;57.03;76,84362;
813;71.74;76,83733;
814;67.06;76,82532;
815;70.18;76,81717;
816;61.12;76,79794;
817;66.41;76,78522;
818;59.84;76,7645;
819;62.46;76,74704;
820;68.75;76,73728;
821;83.66;76,74572;
822;65.30;76,7318;
823;105.39;76,76662;
824;90.08;76,78278;
825;63.66;76,76688;
826;72.47;76,76168;
827;85.69;76,77247;
828;66.67;76,76026;
829;82.31;76,76695;
830;81.06;76,77212;
831;68.72;76,76243;
832;74.05;76,75917;
833;76.13;76,75842;
834;70.01;76,75032;
835;106.40;76,78583;
836;97.93;76,81112;
837;58.28;76,78899;
838;97.14;76,81327;
839;59.33;76,79243;
840;63.13;76,77616;
841;74.67;76,77366;
842;71.39;76,76727;
843;62.44;76,75027;
844;73.85;76,74683;
845;62.84;76,73037;
846;91.38;76,74768;
847;106.00;76,78222;
848;57.24;76,75918;
849;72.81;76,75452;
850;91.71;76,77211;
851;56.73;76,74856;
852;53.94;76,72179;
853;80.27;76,72594;
854;59.39;76,70565;
855;63.47;76,69016;
856;90.85;76,7067;
857;76.77;76,70677;
858;82.96;76,71407;
859;58.99;76,69344;
860;79.35;76,69653;
861;82.02;76,70271;
862;64.14;76,68814;
863;57.31;76,66569;
864;83.44;76,67353;
865;67.30;76,66269;
866;65.13;76,64938;
867;59.59;76,6297;
868;76.47;76,62952;
869;72.55;76,62482;
870;69.11;76,61618;
871;71.73;76,61057;
872;83.59;76,61857;
873;74.66;76,61633;
874;82.54;76,62311;
875;90.24;76,63867;
876;65.13;76,62553;
877;79.14;76,6284;
878;77.09;76,62892;
879;71.60;76,6232;
880;84.60;76,63226;
881;69.59;76,62427;
882;73.80;76,62106;
883;115.09;76,66463;
884;63.20;76,64939;
885;68.17;76,63981;
886;85.83;76,65018;
887;81.28;76,6554;
888;61.87;76,63875;
889;101.65;76,66688;
890;54.93;76,64246;
891;57.21;76,62065;
892;86.86;76,63213;
893;70.06;76,62478;
894;66.99;76,614;
895;79.50;76,61723;
896;75.87;76,61639;
897;70.71;76,6098;
898;115.94;76,65359;
899;81.36;76,65883;
900;67.97;76,64918;
901;77.29;76,64989;
902;62.62;76,63433;
903;84.54;76,64308;
904;113.06;76,68337;
905;81.40;76,68858;
906;60.72;76,67095;
907;74.41;76,66846;
908;78.60;76,67059;
909;69.71;76,66293;
910;109.50;76,69901;
911;84.33;76,70739;
912;64.57;76,69408;
913;71.82;76,68874;
914;73.37;76,68511;
915;49.52;76,65543;
916;95.77;76,6763;
917;67.17;76,66594;
918;62.72;76,65075;
919;100.62;76,67683;
920;101.30;76,70359;
921;78.23;76,70525;
922;73.13;76,70136;
923;88.11;76,71372;
924;65.92;76,70204;
925;67.92;76,69255;
926;88.61;76,70542;
927;88.32;76,71796;
928;124.33;76,76926;
929;72.71;76,76489;
930;26.27;76,7106;
931;35.62;76,66647;
932;50.41;76,6383;
933;62.92;76,6236;
934;63.40;76,60944;
935;53.43;76,58464;
936;60.19;76,56712;
937;27.73;76,51501;
938;77.07;76,51559;
939;31.44;76,46759;
940;62.05;76,45225;
941;58.09;76,43273;
942;53.01;76,40786;
943;74.11;76,40543;
944;71.61;76,40035;
945;45.89;76,36807;
946;82.04;76,37407;
947;72.34;76,36981;
948;57.42;76,34982;
949;71.31;76,34452;
950;79.13;76,34745;
951;56.80;76,3269;
952;101.26;76,35308;
953;59.21;76,3351;
954;74.04;76,3327;
955;67.42;76,32336;
956;66.51;76,3131;
957;58.63;76,29462;
958;85.16;76,30388;
959;70.82;76,29816;
960;80.17;76,30219;
961;122.08;76,34983;
962;75.77;76,34923;
963;54.08;76,3261;
964;75.32;76,32506;
965;73.23;76,32185;
966;85.36;76,33121;
967;119.55;76,37591;
968;92.23;76,39228;
969;78.15;76,3941;
970;82.85;76,40075;
971;87.61;76,41229;
972;58.69;76,39406;
973;73.99;76,39159;
974;65.52;76,38044;
975;59.28;76,3629;
976;81.73;76,3684;
977;75.19;76,3672;
978;58.66;76,34908;
979;74.82;76,34753;
980;75.03;76,34618;
981;68.34;76,33802;
982;64.03;76,32549;
983;59.36;76,30823;
984;49.17;76,28065;
985;96.20;76,30087;
986;83.04;76,30771;
987;69.96;76,30128;
988;80.57;76,3056;
989;44.29;76,27322;
990;52.08;76,24878;
991;52.11;76,22442;
992;68.45;76,21658;
993;43.26;76,1834;
994;108.73;76,21613;
995;73.28;76,21319;
996;66.72;76,20365;
997;69.91;76,19733;
998;87.13;76,20829;
999;80.88;76,21297;
1000;64.59;76,20135;
1001;68.43;76,19359;
1002;87.25;76,20462;
1003;95.80;76,22416;
1004;92.70;76,24056;
1005;76.76;76,24108;
1006;76.12;76,24096;
1007;59.72;76,22456;
1008;65.61;76,21403;
1009;61.82;76,19977;
1010;74.67;76,19826;
1011;75.37;76,19743;
1012;92.23;76,21328;
1013;82.69;76,21967;
1014;83.83;76,22718;
1015;74.28;76,22526;
1016;86.88;76,23575;
1017;63.97;76,22369;
1018;99.79;76,24684;
1019;75.66;76,24627;
1020;59.82;76,23016;
1021;79.33;76,2332;
1022;53.29;76,21075;
1023;73.14;76,20776;
1024;74.62;76,20621;
1025;63.79;76,19409;
1026;60.07;76,17838;
1027;74.86;76,17709;
1028;70.65;76,17172;
1029;42.06;76,13857;
1030;84.36;76,14655;
1031;52.56;76,12368;
1032;48.31;76,09673;
1033;60.49;76,08162;
1034;68.05;76,07384;
1035;60.98;76,05927;
1036;114.33;76,09621;
1037;64.20;76,08473;
1038;52.47;76,06198;
1039;78.17;76,06401;
1040;51.16;76,04006;
1041;64.95;76,0294;
1042;59.52;76,01356;
1043;54.20;75,99265;
1044;52.63;75,97027;
1045;55.11;75,95031;
1046;64.17;75,93905;
1047;41.31;75,90598;
1048;60.66;75,89143;
1049;63.35;75,87947;
1050;59.11;75,8635;
1051;68.81;75,85679;
1052;80.35;75,86106;
1053;59.02;75,84507;
1054;75.04;75,84431;
1055;67.47;75,83636;
1056;70.04;75,83087;
1057;79.93;75,83475;
1058;57.68;75,81759;
1059;71.65;75,81365;
1060;73.42;75,81139;
1061;51.93;75,78889;
1062;75.58;75,78869;
1063;62.80;75,77647;
1064;66.96;75,76818;
1065;71.66;75,76433;
1066;80.99;75,76923;
1067;66.65;75,76069;
1068;68.15;75,75356;
1069;104.71;75,78065;
1070;71.36;75,77652;
1071;51.07;75,75346;
1072;60.23;75,73898;
1073;70.57;75,73416;
1074;75.43;75,73388;
1075;69.81;75,72837;
1076;56.17;75,7102;
1077;51.04;75,68729;
1078;72.35;75,6842;
1079;74.47;75,68307;
1080;71.55;75,67924;
1081;65.28;75,66962;
1082;73.79;75,66788;
1083;54.37;75,64822;
1084;61.90;75,63553;
1085;59.70;75,62084;
1086;67.80;75,61364;
1087;66.36;75,60513;
1088;99.59;75,62717;
