
Iteration; Rate; AvgRate; NumberOfSensors 
1450;85.78;73,01022;1
1451;51.90;72,99567;1
1453;66.44;72,97587;1
1454;42.97;72,95523;1
1456;33.39;72,90163;1
1457;53.72;72,88847;1
1459;61.71;72,8725;1
1460;41.53;72,85103;1
1462;47.87;72,81979;1
1463;56.85;72,80887;1
1465;84.67;72,80392;1
1466;89.88;72,81557;1
1468;75.12;72,80856;1
1469;62.00;72,8012;1
1471;63.21;72,79067;1
1472;60.12;72,78207;1
1474;88.61;72,78061;1
1475;63.10;72,77405;1
1477;54.80;72,76133;1
1478;59.61;72,75243;1
1480;57.29;72,74068;1
1481;68.90;72,73808;1
1483;71.79;72,72616;1
1484;89.92;72,73775;1
1486;64.95;72,71861;1
1487;80.40;72,72377;1
1489;96.88;72,72173;1
1490;65.65;72,71698;1
1492;88.52;72,70882;1
1493;69.57;72,70672;1
1495;66.38;72,69627;1
1496;59.68;72,68758;1
1498;76.24;72,67558;1
1499;65.03;72,67048;1
1501;68.83;72,65642;1
1502;82.13;72,66273;1
1504;56.69;72,64159;1
1505;75.54;72,64351;1
1507;52.62;72,61945;1
1508;78.56;72,6234;1
1510;58.55;72,59884;1
1511;70.29;72,59731;1
1513;90.20;72,58926;1
1514;61.99;72,58225;1
1516;94.82;72,59917;1
1517;62.27;72,59237;1
1519;79.66;72,58485;1
1520;55.61;72,57368;1
1522;52.56;72,54214;1
1523;61.15;72,53465;1
1525;79.57;72,53236;1
1526;46.42;72,51524;1
1528;75.67;72,50693;1
1529;52.56;72,49388;1
1531;59.39;72,47523;1
1532;61.95;72,46835;1
1534;63.81;72,46659;1
1535;57.18;72,45663;1
1537;80.01;72,4501;1
1538;69.39;72,4481;1
1540;79.07;72,44234;1
1541;53.01;72,42973;1
1543;56.20;72,41076;1
1544;60.54;72,40307;1
1546;70.48;72,39194;1
1547;73.41;72,39259;1
1549;99.53;72,3973;1
1550;66.10;72,39324;1
1552;93.30;72,39588;1
1553;48.83;72,38071;1
1555;85.12;72,37;1
1556;72.19;72,36988;1
1558;63.28;72,35447;1
1559;55.16;72,34344;1
